Date : 2024-06-08 02:47:57
Directory : c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos
Total : 94 files,  16272 codes, 344 comments, 600 blanks, all 17216 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\bot\client\client.setup.ts                           | TypeScript            |         26 |          9 |         10 |         45 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\events\guilds\guild.user_added.ts                    | TypeScript            |         28 |          8 |          8 |         44 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\events\guilds\guild.user_remove.ts                   | TypeScript            |         13 |         14 |          5 |         32 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\handlers\handle.nickname.ts                          | TypeScript            |         25 |          6 |         12 |         43 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\handlers\index.ts                                    | TypeScript            |          1 |          0 |          0 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\types\index.d.ts                                     | TypeScript            |         60 |         12 |         21 |         93 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\components\comp.logger.ts                      | TypeScript            |         22 |          1 |          7 |         30 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\handlers\handler.create.ts                     | TypeScript            |         20 |          0 |          5 |         25 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\handlers\handler.custom_inter.ts               | TypeScript            |        177 |          6 |         43 |        226 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\handlers\handler.interaction.ts                | TypeScript            |         41 |          2 |         11 |         54 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\user\chats\ping.ts                             | TypeScript            |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\user\handlers\handler.application.ts           | TypeScript            |         30 |          0 |          9 |         39 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\user\handlers\handler.input.ts                 | TypeScript            |         38 |          1 |          8 |         47 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\user\handlers\handler.register.ts              | TypeScript            |         29 |          1 |          9 |         39 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\interactions\user\handlers\index.ts                         | TypeScript            |          3 |          0 |          0 |          3 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\main.ts                                                     | TypeScript            |          7 |          0 |          4 |         11 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\utilities\components\comp.console.ts                        | TypeScript            |         33 |         28 |          9 |         70 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\utilities\components\comp.embed.ts                          | TypeScript            |         24 |          1 |          5 |         30 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\utilities\configuration\config.config.ts                    | TypeScript            |         40 |          0 |          7 |         47 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\tsconfig.json                                                   | JSON with Comments    |         37 |         69 |          9 |        115 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\discord\bot.md                                            | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\discord\commands.md                                       | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\database\connection.md                           | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\database\usage.md                                | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\email.md                    | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\fields.md                   | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\password.md                 | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\usage.md                    | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\axios.md                        | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\fetch.md                        | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\httpclient.md                   | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\interceptors.md                 | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\usage.md                        | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\eslint.config.mjs                                                       | JavaScript            |          9 |          0 |          2 |         11 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\example.env                                                             | Environment Variables |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\example.gitignore                                                       | Ignore                |          5 |          0 |          1 |          6 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\examples\readme.md                                                      | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\guide\discord\guide.md                                                  | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\code_of_conduct.md                                 | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\jest.config.js                                     | JavaScript            |          5 |          0 |          1 |          6 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\package-lock.json                                  | JSON                  |      3,602 |          0 |          1 |      3,603 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\package.json                                       | JSON                  |         22 |          0 |          1 |         23 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\readme.md                                          | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\index.ts                                       | TypeScript            |          3 |          5 |          2 |         10 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\validations\EmailValidator.ts                  | TypeScript            |          9 |          5 |          4 |         18 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\validations\PasswordStrengthValidator.ts       | TypeScript            |          9 |          6 |          3 |         18 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\validations\RequiredFieldValidator.ts          | TypeScript            |          8 |          5 |          3 |         16 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\test\index.test.ts                                 | TypeScript            |         35 |          1 |          8 |         44 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\test\validations\EmailValidator.test.ts            | TypeScript            |         10 |          0 |          2 |         12 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\test\validations\PasswordStrengthValidator.test.ts | TypeScript            |         12 |          0 |          2 |         14 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\test\validations\RequiredFieldValidator.test.ts    | TypeScript            |         11 |          0 |          2 |         13 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\tsconfig.json                                      | JSON with Comments    |         22 |          0 |          1 |         23 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\code_of_conduct.md                                     | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\package-lock.json                                      | JSON                  |      3,702 |          0 |          1 |      3,703 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\package.json                                           | JSON                  |         19 |          0 |          1 |         20 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\readme.md                                              | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\AxiosClient.ts                                     | TypeScript            |         50 |          5 |         12 |         67 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\FetchClient.ts                                     | TypeScript            |         36 |          5 |          9 |         50 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\HttpClient.ts                                      | TypeScript            |         19 |          5 |          6 |         30 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\Interceptors.ts                                    | TypeScript            |          9 |          5 |          4 |         18 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\src\index.ts                                           | TypeScript            |          4 |          5 |          2 |         11 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\test\httpClient.test.ts                                | TypeScript            |         31 |          8 |         11 |         50 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\tsconfig.json                                          | JSON with Comments    |         14 |          0 |          0 |         14 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\package-lock.json                                                       | JSON                  |      1,558 |          0 |          1 |      1,559 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\package.json                                                            | JSON                  |         11 |          0 |          1 |         12 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\code_of_conduct.md                                    | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\index.ts                                              | TypeScript            |         84 |          5 |         14 |        103 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\package-lock.json                                     | JSON                  |      1,889 |          0 |          1 |      1,890 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\package.json                                          | JSON                  |         39 |          0 |          1 |         40 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\readme.md                                             | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\2024-06-08-01-create-users-table.ts               | TypeScript            |         36 |          5 |          4 |         45 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\index.ts                                          | TypeScript            |         17 |          6 |          7 |         30 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\migrations.ts                                     | TypeScript            |         14 |          6 |          4 |         24 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\models\user.ts                                    | TypeScript            |         14 |          5 |          5 |         24 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\tsconfig.json                                         | JSON with Comments    |         10 |         91 |          9 |        110 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\utilities\code_of_conduct.md                                   | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\utilities\readme.md                                            | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\readme.md                                                               | Markdown              |          1 |          0 |          0 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\code_of_conduct.md                                        | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\example.env                                               | Environment Variables |          4 |          0 |          0 |          4 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\package-lock.json                                         | JSON                  |        115 |          0 |          1 |        116 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\package.json                                              | JSON                  |          6 |          0 |          1 |          7 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\patch.ts                                                  | TypeScript            |         50 |          0 |         12 |         62 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\readme.md                                                 | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\start_script.bat                                          | Batch                 |          0 |          0 |          1 |          1 |
| Total                                                                                                                     |                       |     16,272 |        344 |        600 |     17,216 |
+---------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
