Date : 2024-06-08 02:47:57
Directory : c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos
Total : 94 files,  16272 codes, 344 comments, 600 blanks, all 17216 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| JSON                  |         12 |     14,415 |          0 |         12 |     14,427 |
| TypeScript            |         40 |      1,093 |        180 |        294 |      1,567 |
| Markdown              |         30 |        652 |          0 |        267 |        919 |
| JSON with Comments    |          4 |         83 |        160 |         19 |        262 |
| JavaScript            |          2 |         14 |          0 |          3 |         17 |
| YAML                  |          1 |          6 |          4 |          1 |         11 |
| Ignore                |          1 |          5 |          0 |          1 |          6 |
| Environment Variables |          3 |          4 |          0 |          2 |          6 |
| Batch                 |          1 |          0 |          0 |          1 |          1 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         94 |     16,272 |        344 |        600 |     17,216 |
| . (Files)                                                                                                                 |          7 |      1,677 |          0 |         41 |      1,718 |
| .github                                                                                                                   |          1 |          6 |          4 |          1 |         11 |
| blog                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| discord                                                                                                                   |         26 |      4,214 |        167 |        226 |      4,607 |
| discord (Files)                                                                                                           |          6 |      3,582 |         69 |         48 |      3,699 |
| discord\src                                                                                                               |         20 |        632 |         98 |        178 |        908 |
| discord\src (Files)                                                                                                       |          1 |          7 |          0 |          4 |         11 |
| discord\src\common                                                                                                        |          7 |        168 |         58 |         60 |        286 |
| discord\src\common\bot                                                                                                    |          2 |         41 |         18 |         14 |         73 |
| discord\src\common\bot\client                                                                                             |          2 |         41 |         18 |         14 |         73 |
| discord\src\common\events                                                                                                 |          2 |         41 |         22 |         13 |         76 |
| discord\src\common\events\guilds                                                                                          |          2 |         41 |         22 |         13 |         76 |
| discord\src\common\handlers                                                                                               |          2 |         26 |          6 |         12 |         44 |
| discord\src\common\types                                                                                                  |          1 |         60 |         12 |         21 |         93 |
| discord\src\interactions                                                                                                  |          9 |        360 |         11 |         93 |        464 |
| discord\src\interactions\components                                                                                       |          1 |         22 |          1 |          7 |         30 |
| discord\src\interactions\handlers                                                                                         |          3 |        238 |          8 |         59 |        305 |
| discord\src\interactions\user                                                                                             |          5 |        100 |          2 |         27 |        129 |
| discord\src\interactions\user\chats                                                                                       |          1 |          0 |          0 |          1 |          1 |
| discord\src\interactions\user\handlers                                                                                    |          4 |        100 |          2 |         26 |        128 |
| discord\src\utilities                                                                                                     |          3 |         97 |         29 |         21 |        147 |
| discord\src\utilities\components                                                                                          |          2 |         57 |         29 |         14 |        100 |
| discord\src\utilities\configuration                                                                                       |          1 |         40 |          0 |          7 |         47 |
| documentation                                                                                                             |         13 |          0 |          0 |         13 |         13 |
| documentation\discord                                                                                                     |          2 |          0 |          0 |          2 |          2 |
| documentation\packages                                                                                                    |         11 |          0 |          0 |         11 |         11 |
| documentation\packages\database                                                                                           |          2 |          0 |          0 |          2 |          2 |
| documentation\packages\kits                                                                                               |          9 |          0 |          0 |          9 |          9 |
| documentation\packages\kits\form-validation                                                                               |          4 |          0 |          0 |          4 |          4 |
| documentation\packages\kits\http-client                                                                                   |          5 |          0 |          0 |          5 |          5 |
| examples                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| guide                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| guide\discord                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| kits                                                                                                                      |         25 |      7,818 |         55 |        148 |      8,021 |
| kits\form-validation                                                                                                      |         14 |      3,841 |         22 |         66 |      3,929 |
| kits\form-validation (Files)                                                                                              |          6 |      3,744 |          0 |         40 |      3,784 |
| kits\form-validation\src                                                                                                  |          4 |         29 |         21 |         12 |         62 |
| kits\form-validation\src (Files)                                                                                          |          1 |          3 |          5 |          2 |         10 |
| kits\form-validation\src\validations                                                                                      |          3 |         26 |         16 |         10 |         52 |
| kits\form-validation\test                                                                                                 |          4 |         68 |          1 |         14 |         83 |
| kits\form-validation\test (Files)                                                                                         |          1 |         35 |          1 |          8 |         44 |
| kits\form-validation\test\validations                                                                                     |          3 |         33 |          0 |          6 |         39 |
| kits\http-client                                                                                                          |         11 |      3,977 |         33 |         82 |      4,092 |
| kits\http-client (Files)                                                                                                  |          5 |      3,828 |          0 |         38 |      3,866 |
| kits\http-client\src                                                                                                      |          5 |        118 |         25 |         33 |        176 |
| kits\http-client\test                                                                                                     |          1 |         31 |          8 |         11 |         50 |
| packages                                                                                                                  |         12 |      2,289 |        118 |        117 |      2,524 |
| packages\database                                                                                                         |         10 |      2,196 |        118 |         81 |      2,395 |
| packages\database (Files)                                                                                                 |          6 |      2,115 |         96 |         61 |      2,272 |
| packages\database\src                                                                                                     |          4 |         81 |         22 |         20 |        123 |
| packages\database\src (Files)                                                                                             |          3 |         67 |         17 |         15 |         99 |
| packages\database\src\models                                                                                              |          1 |         14 |          5 |          5 |         24 |
| packages\utilities                                                                                                        |          2 |         93 |          0 |         36 |        129 |
| scripts                                                                                                                   |          7 |        268 |          0 |         51 |        319 |
| scripts\patch                                                                                                             |          7 |        268 |          0 |         51 |        319 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language              | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\.github\dependabot.yml                                                  | YAML                  |          6 |          4 |          1 |         11 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\blog\readme.md                                                          | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\code_of_conduct.md                                                      | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\code_of_conduct.md                                              | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\example.env                                                     | Environment Variables |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\package-lock.json                                               | JSON                  |      3,410 |          0 |          1 |      3,411 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\package.json                                                    | JSON                  |         42 |          0 |          1 |         43 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\readme.md                                                       | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\src\common\bot\client\client.bot.ts                             | TypeScript            |         15 |          9 |          4 |         28 |
